REF_DATE;AGE;POP_M_AUT;POP_M_FOR;POP_F_AUT;POP_F_FOR
01.01.2014;0;498;168;479;172
01.01.2014;1;432;186;481;166
01.01.2014;2;484;163;446;158
01.01.2014;3;484;173;458;140
01.01.2014;4;467;123;454;155
01.01.2014;5;511;139;467;158
01.01.2014;6;492;141;467;130
01.01.2014;7;489;128;474;147
01.01.2014;8;495;134;505;125
01.01.2014;9;518;132;504;131
01.01.2014;10;524;130;471;145
01.01.2014;11;577;154;490;142
01.01.2014;12;502;130;496;132
01.01.2014;13;522;165;493;161
01.01.2014;14;564;144;496;170
01.01.2014;15;506;173;468;140
01.01.2014;16;544;182;522;144
01.01.2014;17;551;207;549;147
01.01.2014;18;568;187;537;179
01.01.2014;19;527;236;551;212
01.01.2014;20;566;278;558;278
01.01.2014;21;590;281;617;280
01.01.2014;22;602;288;643;283
01.01.2014;23;604;305;633;352
01.01.2014;24;646;320;651;361
01.01.2014;25;647;366;706;398
01.01.2014;26;614;389;665;399
01.01.2014;27;639;386;760;411
01.01.2014;28;693;405;716;422
01.01.2014;29;733;401;718;399
01.01.2014;30;694;422;712;389
01.01.2014;31;668;406;683;410
01.01.2014;32;712;407;678;377
01.01.2014;33;626;368;718;383
01.01.2014;34;646;364;664;338
01.01.2014;35;642;322;621;299
01.01.2014;36;630;330;637;312
01.01.2014;37;562;314;655;320
01.01.2014;38;657;324;677;298
01.01.2014;39;604;323;723;274
01.01.2014;40;627;272;747;296
01.01.2014;41;740;274;708;284
01.01.2014;42;730;276;814;274
01.01.2014;43;787;256;840;238
01.01.2014;44;841;289;920;262
01.01.2014;45;923;263;879;261
01.01.2014;46;932;298;945;244
01.01.2014;47;886;278;962;206
01.01.2014;48;917;252;945;248
01.01.2014;49;915;236;984;207
01.01.2014;50;907;243;985;178
01.01.2014;51;818;211;939;222
01.01.2014;52;853;194;992;198
01.01.2014;53;880;213;880;191
01.01.2014;54;768;202;890;192
01.01.2014;55;790;181;852;172
01.01.2014;56;751;160;911;164
01.01.2014;57;713;185;948;184
01.01.2014;58;675;164;827;202
01.01.2014;59;631;184;803;209
01.01.2014;60;616;201;753;173
01.01.2014;61;614;195;773;196
01.01.2014;62;554;204;782;144
01.01.2014;63;585;188;798;163
01.01.2014;64;596;154;839;172
01.01.2014;65;680;138;859;122
01.01.2014;66;749;109;894;102
01.01.2014;67;674;104;890;103
01.01.2014;68;532;68;681;88
01.01.2014;69;660;81;879;72
01.01.2014;70;704;71;870;73
01.01.2014;71;630;75;857;68
01.01.2014;72;764;77;1014;52
01.01.2014;73;745;67;981;56
01.01.2014;74;683;42;932;57
01.01.2014;75;398;56;576;43
01.01.2014;76;374;43;503;36
01.01.2014;77;323;38;522;36
01.01.2014;78;308;28;494;33
01.01.2014;79;303;21;458;21
01.01.2014;80;268;22;447;20
01.01.2014;81;258;10;475;21
01.01.2014;82;272;12;443;19
01.01.2014;83;256;14;417;19
01.01.2014;84;203;11;434;19
01.01.2014;85;195;13;385;15
01.01.2014;86;200;9;348;14
01.01.2014;87;159;4;340;17
01.01.2014;88;124;5;341;5
01.01.2014;89;114;2;329;8
01.01.2014;90;88;6;271;8
01.01.2014;91;73;2;249;7
01.01.2014;92;54;4;206;2
01.01.2014;93;46;1;131;3
01.01.2014;94;27;0;100;5
01.01.2014;95;14;1;49;1
01.01.2014;96;14;2;39;2
01.01.2014;97;7;1;27;1
01.01.2014;98;5;0;16;1
01.01.2014;99;5;0;15;0
01.01.2014;100;6;1;28;1
